法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,,,,,,"各省、自治区、直辖市高级人民法院，解放军军事法院：
根据《中华人民共和国法官法》的有关规定，制定了《法官考评委员会暂行组织办法》和《初任审判员、助理审判员考试暂行办法》，现印发给你们，请认真贯彻执行。


附：


法官考评委员会暂行组织办法"
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第一章,,第一条,,,为了公正地选择德才兼备的优秀人才，建设一支政治坚定、清正廉明、精通法律、秉公执法的法官队伍，根据《中华人民共和国法官法》，制定本办法。
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第一章,,第二条,,,"初任审判员、助理审判员必须经过全国统一考试。
助理审判员被任命审判员时，不再经过考试。"
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第二章,,第三条,,,最高人民法院法官考评委员会是初任审判员、助理审判员全国统一考试的主管机构，负责制定考试方案及实施细则并组织全国统一考试工作。
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第二章,,第四条,,,地方各级人民法院、专门人民法院法官考评委员会负责其管辖范围内的考试组织工作，承办上级人民法院法官考评委员会委托的有关考试工作。
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第二章,,第五条,,,各级人民法院法官考评委员会在初任审判员、助理审判员全国统一考试期间设考试办公室，挂靠本院人事管理部门，具体负责考试的组织实施工作。
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第三章,,第六条,,,"报名参加考试的人员，必须具备下列条件：
（一）具有中华人民共和国国籍；
（二）年满二十三岁；
（三）拥护中华人民共和国宪法；
（四）有良好的政治、业务素质和良好的品行；
（五）身体健康；
（六）高等院校法律专业毕业或者高等院校非法律专业毕业具有法律专业知识，工作满二年的；或者获得法律专业学士学位，工作满一年的；获得法律专业硕士学位、法律专业博士学位的，可以不受上述工作年限的限制。"
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第三章,,第七条,,,各级人民法院法官考评委员会按规定对本地区的报考人员进行资格审查，由高级人民法院法官考评委员会统一发给准考证。
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第三章,,第八条,,,考试试题及评分标准由最高人民法院法官考评委员会制定。
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第三章,,第九条,,,考试的主要内容包括马列主义基础理论知识、法律专业知识和分析、判断能力，文字、语言能力等。
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第三章,,第十条,,,考试采取闭卷笔试和面试两种形式。笔试成绩合格者，方可参加面试。
最高人民法院关于印发《法官考评委员会暂行组织办法》和《初任审判员助理审判员考试暂行办法》的通知,司法解释,1996,已废止,,第三章,,第十一条,,,评卷工作在最高人民法院法官考评委员会统一领导下，由高级人民法院法官考评委员会组织实施。
