法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,一,,,"第十四届全国人民代表大会代表的名额不超过3000人。
"
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,二,,,"省、自治区、直辖市应选第十四届全国人民代表大会代表的名额，由根据人口数计算确定的名额数、相同的地区基本名额数和其他应选名额数构成。
(一)第十四届全国人民代表大会代表名额中，按照人口数分配的代表名额为2000名，省、自治区、直辖市根据人口数计算的名额数，按约每70万人分配1名；
(二)省、自治区、直辖市各分配地区基本名额数8名；
(三)省、自治区、直辖市的其他应选名额数，由全国人民代表大会常务委员会依照法律规定另行分配。
"
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,三,,,"香港特别行政区应选第十四届全国人民代表大会代表36名，澳门特别行政区应选第十四届全国人民代表大会代表12名，代表产生办法由全国人民代表大会另行规定。
"
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,四,,,"台湾省暂时选举第十四届全国人民代表大会代表13名，由在各省、自治区、直辖市以及中国人民解放军和中国人民武装警察部队的台湾省籍同胞中选出。代表产生办法由全国人民代表大会常务委员会规定。依法应选的其余名额予以保留。
"
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,五,,,"中国人民解放军和中国人民武装警察部队应选第十四届全国人民代表大会代表278名。
"
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,六,,,"第十四届全国人民代表大会代表中，少数民族代表的名额应占代表总名额的12%左右。人口特少的民族至少应有1名代表。
"
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,七,,,"第十四届全国人民代表大会代表中，应选归侨代表35名。
"
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,八,,,"第十四届全国人民代表大会代表中，妇女代表的比例原则上要高于上届。
"
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,九,,,"第十四届全国人民代表大会代表中，基层代表特别是一线工人、农民和专业技术人员代表的比例要比上届有所上升，农民工代表人数要比上届有所增加，党政领导干部代表的比例要继续从严掌握。连任的代表应占一定比例。
"
第十三届全国人民代表大会第五次会议关于第十四届全国人民代表大会代表名额和选举问题的决定,法律法规,2022年3月11日,空,,,,十,,,第十四届全国人民代表大会代表于2023年1月选出。
