法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,一,,,"第十三届全国人民代表大会代表的名额不超过3000人。
"
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,二,,,"各省、自治区、直辖市应选第十三届全国人民代表大会代表的名额与第十二届全国人民代表大会代表的名额相同。
"
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,三,,,"香港特别行政区应选第十三届全国人民代表大会代表36名，澳门特别行政区应选第十三届全国人民代表大会代表12名，代表产生办法由全国人民代表大会另行规定。
"
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,四,,,"台湾省暂时选举第十三届全国人民代表大会代表13名，由在各省、自治区、直辖市和中国人民解放军的台湾省籍同胞中选出。代表产生办法由全国人民代表大会常务委员会规定。依法应选的其余名额予以保留。
"
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,五,,,"中国人民解放军应选第十三届全国人民代表大会代表265名。
"
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,六,,,"第十三届全国人民代表大会代表中，少数民族代表的名额应占代表总名额的12％左右。人口特少的民族至少应有1名代表。
"
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,七,,,"第十三届全国人民代表大会代表中，应选归侨代表35名。
"
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,八,,,"第十三届全国人民代表大会代表中，妇女代表的比例要比上届有所提高。
"
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,九,,,"第十三届全国人民代表大会代表中，基层代表特别是一线工人、农民、专业技术人员代表的比例要比上届有所上升，农民工代表人数要比上届有所增加，党政领导干部代表的比例要比上届有所降低。连任的代表应占一定比例。
"
第十二届全国人民代表大会第五次会议关于第十三届全国人民代表大会代表名额和选举问题的决定,法律法规,2017年3月15日,空,,,,十,,,第十三届全国人民代表大会代表于2018年1月选出。
