法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,一,,,"中国人民武装警察部队警官警衔，是区分警官等级、表明警官身份的称号、标志和国家给予警官的荣誉。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,二,,,"中国人民武装警察部队现役警官警衔等级的设置，比照《中国人民解放军军官军衔条例》第二章第七条的规定执行。
警官在警衔前冠以“武警”。专业技术警官在警衔前冠以“武警专业技术”。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,三,,,"中国人民武装警察部队现役警官按照职务等级编制警衔：
(一)武警部队司令员、政治委员：中将至少将；
(二)武警部队副司令员、副政治委员：中将至大校；
(三)正军职以下警官职务等级编制警衔，依照《中国人民解放军军官军衔条例》第三章第十一条的规定执行。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,四,,,"下列单位的现役警官，符合中央军事委员会规定的评定授予现役军官军衔范围的，评定授予警衔：
(一)中国人民武装警察部队总部、总队、院校；
(二)武警边防部队、消防部队、警卫部队；
(三)武警水电指挥部、黄金指挥部、交通指挥部及所属部队，武装森林警察总队。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,五,,,"评定授予现役警官警衔的基本原则和标准按照中央军事委员会的有关规定执行。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,六,,,"首次授予现役警官警衔的批准权限：
(一)中将、少将、大校、上校，由国务院总理、中央军事委员会主席批准授予；
(二)中校、少校，由公安部部长、中国人民武装警察部队第一政治委员，司令员、政治委员批准授予；
(三)上尉、中尉、少尉，由省、自治区、直辖市公安厅(局)长、中国人民武装警察部队总队第一政治委员，总队长、政治委员或者其他有警官职务任免权的军、师级单位正职首长批准授予。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,七,,,"现役警官警衔晋级的批准权限：
(一)武警部队司令员、政治委员、副司令员、副政治委员和正军职警官警衔晋级，由国务院总理、中央军事委员会主席批准；
(二)副军职以下警官警衔晋级，按照现役警官职务的任免权限批准。但是，下列警官警衔晋级，按照以下规定批准：
副军职、正师职警官和担任高级专业技术职务的警官晋升为少将的，由国务院总理、中央军事委员会主席批准；
副师职警官和担任高级专业技术职务的警官晋升为大校的，由公安部部长批准；
正团职警官和担任中级专业技术职务的警官晋升为上校的，由中国人民武装警察部队第一政治委员、司令员、政治委员批准；
正营职警官晋升为中校、副营职警官和担任初级专业技术职务的警官晋升为少校的，由省、自治区、直辖市公安厅(局)长、中国人民武装警察部队总队第一政治委员，总队长、政治委员或者其他有警官职务任免权的军、师级单位的正职首长批准。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,八,,,"现役警官警衔的降级、取消和剥夺，按照《中国人民解放军军官军衔条例》第六章的规定执行。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,九,,,"现役警官授衔仪式在公布授予警衔命令的同时举行。授予将官警衔的仪式，由武警总部组织实施，国务院、中央军事委员会领导同志或受国务院、中央 军事委员会委托的有关同志前往授衔。授予校官、尉官警衔的仪式，由武警总部机关、总队、支队、院校和其他军、师级单位根据具体情况组织实施。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,十,,,"中国人民武装警察部队警官警衔的肩章、符号式样和佩带办法，由国务院和中央军事委员会颁布。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,十一,,,"上述各条未作规定的事项，均按《中国人民解放军军官军衔条例》的有关规定执行。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,十二,,,"中国人民武装警察部队实行警官警衔制度的同时，依照中央军事委员会颁布的《中国人民解放军文职干部暂行条例》，实行文职干部制度。部分现役警官改任文职干部，由武警总部结合实际情况组织实施。
"
中国人民武装警察部队实行警官警衔制度的具体办法,行政法规,2011年1月8日,有效,,,,十三,,,"中国人民武装警察部队士兵，依照《中国人民解放军现役士兵服役条例》，实行士兵警衔制度，在称谓上应与人民解放军有所区别，授予士兵警衔的改称为“警士长”、“专业警士”、“警士”，士兵在警衔前冠以“武警”。其他士兵的警衔等级区分与中国人民解放军士兵军衔等级区分相同。
中国人民武装警察部队士兵警衔制度，由武警总部组织实施。"
