法律名称,法律性质,发布时间,时效性,编,章,节,条,款,项,内容
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,一,,,"详细填写特种营业登记表两份，附申请人最近二寸半身免冠像片三张，并觅具可靠非同业铺保两家。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,二,,,"造具该业股东、职工名册，建筑设备及四邻平面略图(露天刻字摊免缴平面略图)。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,三,,,"将填妥之申请登记表，连同像片、略图、名册等送公安局或分局，经核准发给许可证后，须另向该管工商机关申请，领得营业执照后始准营业。
第四条　凡在本规则颁布前，已开业之印铸刻字业，均须补办第三条规定之手续。
第五条　凡领有许可证之印铸刻字业者，如有更换字号、经理、股东，或迁移、扩充、转业、歇业等事情时，均须先经公安局或分局许可后，始得办理其他手续。
第六条　凡经营印铸刻字业者，均须遵守下列事项：
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,一,,,"遇有下列各项印刷铸刻情形之一者，须将底样及委托印刷刻字之机关证明文件，随时呈送当地人民公安机关核准备案后方得印制。
1．刻制机关、团体、学校、公营企业之关防、钤记、官印、公章、胶皮印、负责首长之官印、名章等。
2．印制布告、护照、委任状、袖章、符号、胸章、证券及文书信件等。
3．铸造机关、团体、学校、公营企业使用之各种钢印、火印、号牌、徽章等或仿制该项式样者。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,二,,,"凡经营印铸刻字业者，均需备制营业登记簿，以备查验。属本条第一款规定之各印制品，承制者一律不准留样，不准仿制，或私自翻印。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,三,,,"遇有下列情形之一者，须迅速报告当地人民公安机关：
1．伪造或仿造布告、护照、委任状、袖章、符号、胸章、证券及各机关之文件等。
2．私自定制各机关、团体、学校、公营企业之钢印、火印、徽章、证明、号牌或仿制者。
3．遇有定制非法之团体、机关戳记、印件、徽章或仿制者。
4．印制反对人民民主、生产建设及宣传封建等各种反动印刷品者。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,四,,,"凡印刷铸刻本条第三款所规定之各项物品者，除没收其原料及成品外，得按照情节之轻重，予以惩处。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,五,,,"对人民公安机关之执行检查职务人员，应予协助进行。
第七条　营业者有下列情形之一时，得缴销其特种营业许可证，停止其营业。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,一,,,"假借他人名义者。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,二,,,"领取许可证后，无正当理由两月以上未开业者。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,三,,,"无故休业超过一个月以上者。
"
印铸刻字业暂行管理规则,行政法规,1951年8月15日,有效,,,,四,,,"营业者行踪不明逾两月者。
第八条　凡遵照本规则各条规定进行报告、检举，因而查获重大罪犯、破获重大案件者，由公安局酌情予以名誉或物质奖励。
第九条　省级以上人民公安机关，得依据本规则之精神，制定补充办法；县(市)级人民公安机关如有制定补充办法之必要时，须经省级人民公安机关批准。
第十条　本规则经中央人民政府政务院政治法律委员会批准，由中央人民政府公安部发布施行。"
